"N° DM","LIGNE","N°BL","Article","Quantité","CHANTIER","Date livraison","INTITULER","EE","RECEPTION"
"26-0006445","26-0006445/29/1","00124513","08805343","10","LUC","13/03/2026","ETRIER  ""L = 0_295M""      5005","LUC",""
"26-0006445","26-0006445/3/1","00124513","08805316","10","LUC","13/03/2026","ETRIER  ""L = 0_160M""      5005","LUC",""
"26-0006445","26-0006445/30/1","00124513","08805344","10","LUC","13/03/2026","ETRIER  ""L = 0_300M""      5005","LUC",""
"26-0006445","26-0006445/31/1","00124513","08805345","10","LUC","13/03/2026","ETRIER  ""L = 0_305M""      5005","LUC",""
"26-0006445","26-0006445/32/1","00124513","08805346","10","LUC","13/03/2026","ETRIER  ""L = 0_310M""      5005","LUC",""
"26-0006445","26-0006445/33/1","00124513","08805347","10","LUC","13/03/2026","ETRIER  ""L = 0_325M""      5005","LUC",""
"26-0006445","26-0006445/34/1","00124513","08805348","10","LUC","13/03/2026","ETRIER  ""L = 0_350M""      5005","LUC",""
"26-0006445","26-0006445/35/1","00124513","08805349","10","LUC","13/03/2026","ETRIER  ""L = 0_405M""      5005","LUC",""
"26-0006445","26-0006445/36/1","00124513","08805350","10","LUC","13/03/2026","ETRIER  ""L = 0_465M""      5005","LUC",""
"26-0006445","26-0006445/37/1","00124513","78800998","10","LUC","13/03/2026","ETRIER  ""L = 0_315M""      5005","LUC",""
"26-0006445","26-0006445/38/1","00124513","78800999","10","LUC","13/03/2026","ETRIER  ""L = 0_335M""      5005","LUC",""
"26-0006445","26-0006445/39/1","00124513","78801000","10","LUC","13/03/2026","ETRIER  ""L = 0_320M""      5005","LUC",""
"26-0006445","26-0006445/4/1","00124513","08805317","10","LUC","13/03/2026","ETRIER  ""L = 0_165M""      5005","LUC",""
"26-0006445","26-0006445/40/1","00124513","78801001","10","LUC","13/03/2026","ETRIER  ""L = 0_330M""      5005","LUC",""
"26-0006445","26-0006445/41/1","00124513","78801002","10","LUC","13/03/2026","ETRIER  ""L = 0_340M""      5005","LUC",""
"26-0006445","26-0006445/42/1","00124513","78801003","10","LUC","13/03/2026","ETRIER  ""L = 0_345M""      5005","LUC",""
"26-0006445","26-0006445/43/1","00124513","78801004","10","LUC","13/03/2026","ETRIER  ""L = 0_355M""      5005","LUC",""
"26-0006445","26-0006445/44/1","00124513","78801005","10","LUC","13/03/2026","ETRIER  ""L = 0_360M""      5005","LUC",""
"26-0006445","26-0006445/45/1","00124513","78801006","10","LUC","13/03/2026","ETRIER  ""L = 0_365M""      5005","LUC",""
"26-0006445","26-0006445/46/1","00124513","78801007","10","LUC","13/03/2026","ETRIER  ""L = 0_370M""      5005","LUC",""
"26-0006445","26-0006445/47/1","00124513","78801008","10","LUC","13/03/2026","ETRIER  ""L = 0_375M""      5005","LUC",""
"26-0006445","26-0006445/48/1","00124513","78801009","10","LUC","13/03/2026","ETRIER  ""L = 0_380M""      5005","LUC",""
"26-0006445","26-0006445/49/1","00124513","78801010","10","LUC","13/03/2026","ETRIER  ""L = 0_385M""      5005","LUC",""
"26-0006445","26-0006445/5/1","00124513","08805318","10","LUC","13/03/2026","ETRIER  ""L = 0_170M""      5005","LUC",""
"26-0006445","26-0006445/50/1","00124513","78801011","10","LUC","13/03/2026","ETRIER  ""L = 0_390M""      5005","LUC",""
"26-0006445","26-0006445/6/1","00124513","08805319","10","LUC","13/03/2026","ETRIER  ""L = 0_175M""      5005","LUC",""
"26-0006445","26-0006445/7/1","00124513","08805320","10","LUC","13/03/2026","ETRIER  ""L = 0_180M""      5005","LUC",""
"26-0006445","26-0006445/8/1","00124513","08805321","10","LUC","13/03/2026","ETRIER  ""L = 0_185M""      5005","LUC",""
"26-0006445","26-0006445/9/1","00124513","08805322","10","LUC","13/03/2026","ETRIER  ""L = 0_190M""      5005","LUC",""
"25-0047726","25-0047726/22/1","00124696","08820930","16","QUINCY","16/03/2026","CORNIERE DE FIXATION     22835","ETF","19/03/2026"
"26-0008637","26-0008637/1/1","00124697","01602035","20","BETZ","16/03/2026","BOULON H_M20-70_2 ECRS H GALV.","TSO",""
"26-0008637","26-0008637/10/1","00124697","01680156","200","BETZ","16/03/2026","RONDELLE PLATE M14","TSO",""
"26-0008637","26-0008637/11/1","00124697","01758367","10","BETZ","16/03/2026","AXE D'ARTICULATION TETE 24-70","TSO",""
"26-0008637","26-0008637/12/1","00124697","01932935","100","BETZ","16/03/2026","COLLIER HOP INOX9 20-35","TSO",""
"26-0008637","26-0008637/18/1","00124697","08800052","2","BETZ","16/03/2026","CORNIERE 60X60X6  L400MM 18R03","TSO",""
"26-0008637","26-0008637/19/1","00124697","08800200","30","BETZ","16/03/2026","TIGE FILETEE 14-250/250  70R01","TSO",""
"26-0008637","26-0008637/2/1","00124697","01602769","10","BETZ","16/03/2026","BOULON H_M24-80_ECROU H GALV.","TSO",""
"26-0008637","26-0008637/20/1","00124697","08800208","4","BETZ","16/03/2026","TIGE FILETEE 14-450/100  70R05","TSO",""
"26-0008637","26-0008637/21/1","00124697","08800606","11","BETZ","16/03/2026","ISOLATEUR CERAMI. SUPPORT  400","TSO",""
"26-0008637","26-0008637/22/1","00124697","08801905","4","BETZ","16/03/2026","PINCE D'ANCRAGE           1754","TSO",""
"26-0008637","26-0008637/23/1","00124697","08804392","52","BETZ","16/03/2026","ETRIER DE 10-45-50      17R238","TSO",""
"26-0008637","26-0008637/24/1","00124697","08805123","2","BETZ","16/03/2026","CAVALIER PR FIL CU.104    5438","TSO",""
"26-0008637","26-0008637/25/1","00124697","08805178","2","BETZ","16/03/2026","CAVALIER CABLE 13_5 A 15  5439","TSO",""
"26-0008637","26-0008637/26/1","00124697","08806700","4","BETZ","16/03/2026","CAVALIER CABLE 104_5MM2   6646","TSO",""
"26-0008637","26-0008637/27/1","00124697","08806767","4","BETZ","16/03/2026","COSSE A PLAGE DEPORTEE    6787","TSO",""
"26-0008637","26-0008637/28/1","00124697","08806769","6","BETZ","16/03/2026","RACCORD DROIT (BAR. CU25)  942","TSO",""
"26-0008637","26-0008637/29/1","00124697","08806805","8","BETZ","16/03/2026","DEMI-GRIFFE               6511","TSO",""
"26-0008637","26-0008637/3/1","00124697","01604573","75","BETZ","16/03/2026","BOULON H_M14-40_2 ECROUS GALV","TSO",""
"26-0008637","26-0008637/30/1","00124697","08806812","4","BETZ","16/03/2026","DEMI-GRIFFE CUIVRE    6604R406","TSO",""
"26-0008637","26-0008637/31/1","00124697","08806816","8","BETZ","16/03/2026","DEMI-GRIFFE SERRAGE   6604R301","TSO",""
"26-0008637","26-0008637/32/1","00124697","08806825","8","BETZ","16/03/2026","DEMI GRIFFE DE SERRAGE    6530","TSO",""
"26-0008637","26-0008637/33/1","00124697","08806901","4","BETZ","16/03/2026","DEMI-GRIFFE PENDULEE      6645","TSO",""
"26-0008637","26-0008637/34/1","00124697","08807977","2","BETZ","16/03/2026","TENDEUR A LANTERNE DE 27  8427","TSO",""
"26-0008637","26-0008637/35/1","00124697","08820910","10","BETZ","16/03/2026","ATTACHE FIXE            222753","TSO",""
"26-0008637","26-0008637/36/1","00124697","08825932","4","BETZ","16/03/2026","PLAT COUDE L=0_18 REPEEE 32683","TSO",""
"26-0008637","26-0008637/37/1","00124697","08827850","12","BETZ","16/03/2026","BRIDE DE SERRAGE         33960","TSO",""
"26-0008637","26-0008637/38/1","00124697","08838705","2","BETZ","16/03/2026","TENDEUR A LANTERNE 10   208059","TSO",""
"26-0008637","26-0008637/39/1","00124697","71634875","200","BETZ","16/03/2026","VIS H_ M10X30 - A4-80","TSO",""
"26-0008637","26-0008637/4/1","00124697","01604653","25","BETZ","16/03/2026","BOULON H_M14-80_ECROU H","TSO",""
"26-0008637","26-0008637/40/1","00124697","71635901","200","BETZ","16/03/2026","VIS H_ M10X35 - A4-80","TSO",""
"26-0008637","26-0008637/41/1","00124697","71674471","200","BETZ","16/03/2026","ECROU HFR M10 INOX + REVET +CL","TSO",""
"26-0008637","26-0008637/42/1","00124697","71674602","100","BETZ","16/03/2026","ECROU HFR M12 INOX + REVET +CL","TSO",""
"26-0008637","26-0008637/43/1","00124697","78800005","6","BETZ","16/03/2026","PLAQUE SUPPORT            7380","TSO",""
